"","Sample","CoverageType","Coverage"
"1657","tome","MeanCoverageMM",0.127
"1658","tome","MeanCoverageMM",0.031
"1659","tome","MeanCoverageMM",0.066
"1660","tome","MeanCoverageMM",0.067
"1661","tome","MeanCoverageMM",0.063
"1662","tome","MeanCoverageMM",0.222
"1663","tome","MeanCoverageMM",0.159
"1664","tome","MeanCoverageMM",0.21
"1665","tome","MeanCoverageMM",0.153
"1666","tome","MeanCoverageMM",0.074
"1667","tome","MeanCoverageMM",0.183
"1668","tome","MeanCoverageMM",0.093
"1669","tome","MeanCoverageMM",0.134
"1670","tome","MeanCoverageMM",0.192
"1671","tome","MeanCoverageMM",0.186
"1672","tome","MeanCoverageMM",0.116
"1673","tome","MeanCoverageMM",0.197
"1674","tome","MeanCoverageMM",0
"1675","tome","MeanCoverageMM",0.182
"1676","tome","MeanCoverageMM",0.079
"1677","tome","MeanCoverageMM",0.188
"1678","tome","MeanCoverageMM",0.193
"1679","tome","MeanCoverageMM",0.119
"1680","tome","MeanCoverageMM",0.088
"1681","tome","MeanCoverageMM",0.186
"1682","tome","MeanCoverageMM",0.046
"1683","tome","MeanCoverageMM",0.177
"1684","tome","MeanCoverageMM",0.123
"1685","tome","MeanCoverageMM",0.145
"1686","tome","MeanCoverageMM",0.093
"1687","tome","MeanCoverageMM",0.197
"1688","tome","MeanCoverageMM",0.147
"1689","tome","MeanCoverageMM",0.13
"1690","tome","MeanCoverageMM",0.073
"1691","tosc","MeanCoverageMM",0.13
"1692","tosc","MeanCoverageMM",0.138
"1693","tosc","MeanCoverageMM",0.091
"1694","tosc","MeanCoverageMM",0.124
"1695","tosc","MeanCoverageMM",0
"1696","tosc","MeanCoverageMM",0.034
"1697","tosc","MeanCoverageMM",0.333
"1698","tosc","MeanCoverageMM",0.099
"1699","tosc","MeanCoverageMM",0.11
"1700","tosc","MeanCoverageMM",0.025
"1701","tosc","MeanCoverageMM",0.067
"1702","tosc","MeanCoverageMM",0.062
"1703","tosc","MeanCoverageMM",0.101
"1704","tosc","MeanCoverageMM",0.102
"1705","tosc","MeanCoverageMM",0.105
"1706","tosc","MeanCoverageMM",0.13
"1707","tosc","MeanCoverageMM",0.08
"1708","tosc","MeanCoverageMM",0.083
"1709","tosc","MeanCoverageMM",0.049
"1710","tosc","MeanCoverageMM",0.109
"1711","tosc","MeanCoverageMM",0.053
"1712","tosc","MeanCoverageMM",0.042
"1713","tosc","MeanCoverageMM",0.039
"1714","tosc","MeanCoverageMM",0.015
"1715","tosc","MeanCoverageMM",0.066
"1716","tosc","MeanCoverageMM",0.039
"1717","tosc","MeanCoverageMM",0.063
"1718","tosc","MeanCoverageMM",0.07
"1719","tosc","MeanCoverageMM",0.109
"1720","tosc","MeanCoverageMM",0.246
"1721","tosc","MeanCoverageMM",0.086
"1722","tosc","MeanCoverageMM",0.091
"1723","tosc","MeanCoverageMM",0.105
"1724","tosc","MeanCoverageMM",0.086
"1725","tosc","MeanCoverageMM",0.064
"1726","tosc","MeanCoverageMM",0.046
"1727","tosc","MeanCoverageMM",0
"1728","tosc","MeanCoverageMM",0.082
"1729","tosc","MeanCoverageMM",0.087
"1730","tosc","MeanCoverageMM",0.058
"1731","tosc","MeanCoverageMM",0.024
"1732","tosc","MeanCoverageMM",0.109
"1733","tosc","MeanCoverageMM",0.094
"1734","tosc","MeanCoverageMM",0.017
"1735","tosc","MeanCoverageMM",0.089
"1736","tosc","MeanCoverageMM",0.131
"1737","tosc","MeanCoverageMM",0.268
"1738","tosc","MeanCoverageMM",0.099
"1739","tosc","MeanCoverageMM",0.112
"1740","tosc","MeanCoverageMM",0.16
"1741","tosc","MeanCoverageMM",0.04
"1742","tosc","MeanCoverageMM",0.117
"1743","tosc","MeanCoverageMM",0
"1744","tosc","MeanCoverageMM",0.106
"1745","tosc","MeanCoverageMM",0.025
"1746","tosc","MeanCoverageMM",0.116
"1747","tosc","MeanCoverageMM",0.061
"1748","tosc","MeanCoverageMM",0.064
"1749","tosc","MeanCoverageMM",0.073
"1750","tosc","MeanCoverageMM",0.032
"1751","tosc","MeanCoverageMM",0.103
"1752","tosc","MeanCoverageMM",0.058
"1753","tosc","MeanCoverageMM",0.063
"1754","tosc","MeanCoverageMM",0.118
"1755","tosc","MeanCoverageMM",0.122
"1756","tosc","MeanCoverageMM",0.023
"1757","tosc","MeanCoverageMM",0.075
"1758","tosc","MeanCoverageMM",0.008
"1759","tosc","MeanCoverageMM",0.033
"1760","tosc","MeanCoverageMM",0.024
"1761","tosc","MeanCoverageMM",0.086
"1762","tosc","MeanCoverageMM",0.158
"1763","tosc","MeanCoverageMM",0.089
"1764","tosc","MeanCoverageMM",0.136
"1765","tosc","MeanCoverageMM",0.09
"1766","tosc","MeanCoverageMM",0.042
"1767","tosc","MeanCoverageMM",0.113
"1768","tosc","MeanCoverageMM",0.082
"1769","tosc","MeanCoverageMM",0.029
"1770","tosc","MeanCoverageMM",0.105
"1771","tosc","MeanCoverageMM",0.102
"1772","tosc","MeanCoverageMM",0.063
"1773","tosc","MeanCoverageMM",0.085
"1774","tosc","MeanCoverageMM",0
"1775","tosc","MeanCoverageMM",0.12
"1776","tosc","MeanCoverageMM",0.062
"1777","tosc","MeanCoverageMM",0.1
"1778","tosc","MeanCoverageMM",0.106
"1779","tosc","MeanCoverageMM",0.05
"1780","tosc","MeanCoverageMM",0.071
"1781","tosc","MeanCoverageMM",0.106
"1782","tosc","MeanCoverageMM",0.102
"1783","tosc","MeanCoverageMM",0.123
"1784","tosc","MeanCoverageMM",0.071
"1785","tosc","MeanCoverageMM",0.092
"1786","tosc","MeanCoverageMM",0.059
"1787","tosc","MeanCoverageMM",0.111
"1788","tosc","MeanCoverageMM",0.086
"1789","tosc","MeanCoverageMM",0.065
"1790","tosc","MeanCoverageMM",0.026
